lemma,count
(Psalm,2
ἀνθρώπινος,2
λέγας,2
ἅρμα,2
βασιλεύω,2
ἱδρύετα,2
δευτερεῖα,2
Μαμβρός,2
μεταληφθεύς,2
οἰκείος,2
τελειός,2
φρονήσιος,2
μήθη,2
ἐνέγκασθα,2
ἔμψυχος,2
μετέωρος,2
ἀνάβηθις,2
καδάς,2
Ἀβιός,2
συνέρχεσθα,2
θέμις,2
θράσος,2
„Ἀβραὰμ,2
ἀφικνέομαι,2
πρόσθεν,2
ἀκαμπή,2
Χαλδαικός,2
ἀνίστημι,2
χαλδαῖος,2
κοινών,2
συμπαθεία,2
περιέχοντα,2
μέρες,2
χορεία,2
ἄχρι,2
προμηθόυμος,2
δεσμός,2
θάλασσα,2
ὑμέτερος,2
δίκη,2
χωρίον,2
ὀπός,2
φωλεός,2
σφόδρα,2
ἁρμόττης,2
ἀγγεῖος,2
ἔπειτ’,2
βασίλειος,2
ἐκεῖθεν,2
αἰσθητής,2
πρεσβύς,2
νεότερος,2
χρῆσεος,2
ἥκιστος,2
ἀνάμνησις,2
ἀποθνήσκω,2
τέκνον,2
ὀργή,2
περιμάχητος,2
ἐθέλω,2
ζητητικός,2
δρῦν,2
ἀσφαλής,2
ζητούμενος,2
διόδευσος,2
μμώρ,2
„Καὶ,1
μεγαλυνός,1
ἐνευλογηθήσσα,1
καθήρα,1
ἀφορμή,1
χωρίος,1
ἀναλύεις,1
φῆος,1
„γῆ,1
ἀπελεύσος,1
παγήνη,1
χοῦς,1
ἀνθρώπεια,1
μορφή,1
διαπλάσσας,1
λυόμενος,1
λύεις,1
διάνεμος,1
ἐνεργείος,1
ἐπιτροπή,1
ἀνημμενής,1
διαιτάτης,1
ὑπεξῃρημής,1
διαθής,1
διακοσμήσιοι,1
ἐπιδείκνυτα,1
κέκληκος,1
δειξιον,1
ἀειδής,1
καταλαμβανόμης,1
πλήν,1
οἴακος,1
ἐνειλημμένος,1
πηδαλιοχής,1
ἐκοσμοπλάστος,1
ἀνυπαίτιος,1
αἰνίττετα,1
δηδήλωκαμος,1
„ἄπελθε,1
διαζεύχθητος,1
διαγορεύν,1
ἀλλοτριώθης,1
περισχεθής,1
παίδωισος,1
γίνως,1
πολλαχός,1
„πρόσεχε,1
ὑπακοῦιος,1
ἐπιτάττειν,1
προσήκη,1
γεώδης,1
ἐκφεύγω,1
δεσμωτήριον,1
εἱρκτοφύλαξ,1
σθένος,1
κάκων,1
παρέρεις,1
συλλήβδη,1
ἐπανατείναμος,1
κράζω,1
ἀλλότριος,1
δανανείσμενος,1
ἀποβληκλῆξ,1
θελήσησις,1
κομίζω,1
περιβάλλω,1
διαζεύξ,1
ἀλλοτριών,1
μεταποίη,1
ὄθνεια,1
καρπόμμενος,1
μετανάστητις,1
ὠνόμασις,1
ἀπατηθίθης,1
κάλλεσις,1
μίμημα,1
ἑρμηνεία,1
διερμηνεύον,1
ἐφίεμενος,1
διοικίζομειος,1
ἄρξητος,1
γνωρίζος,1
ἐνομιλεύς,1
θεωρήμας,1
κλινόμενος,1
ἀπώσετα,1
Ἑβραίος,1
„διαχωρίσθητι,1
ἐμός,1
συνοική,1
ἔρως,1
κατεσχημένος,1
ῥέπων,1
ἱεροφάντης,1
βίβλος,1
ἐξαγωγός,1
ἀνέγραψε,1
εὔραμενος,1
παιδευτίξ,1
νουθεσία,1
σωφρονισμός,1
ἑτοιμός,1
